TARGET	AGENT	COMP1	COMP2	COMP3	NONSE1	NONSE2	NONSE3	NONSE4	NONSE5	COMPnum	NONSEnum	ITEM	SCENE	ORDER	SUBJECT	COND	ACCURACY	TARGET_early	AGENT_early	COMP1_early	COMP2_early	COMP3_early	NONSE1_early	NONSE2_early	NONSE3_early	NONSE4_early	NONSE5_early
3125	1216	NaN	2233	2517	3299	NaN	NaN	NaN	NaN	3	1	16	16	3	45	1	1	NaN	567	NaN	855	NaN	7	NaN	NaN	NaN	NaN
1774	1187	NaN	919	NaN	NaN	NaN	NaN	NaN	NaN	3	0	13	13	4	45	1	1	NaN	380	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
NaN	891	NaN	NaN	NaN	NaN	2098	1744	1410	2666	0	5	40	24	5	45	0	1	NaN	661	NaN	NaN	NaN	NaN	NaN	514	NaN	NaN
NaN	987	1539	NaN	3407	NaN	NaN	NaN	NaN	NaN	3	1	34	18	6	45	0	1	NaN	939	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2361	1425	329	3952	NaN	NaN	NaN	NaN	NaN	NaN	3	0	68	4	7	45	2	1	7	NaN	291	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2467	2304	NaN	1933	1110	NaN	NaN	NaN	NaN	NaN	3	1	15	15	8	45	1	1	NaN	7	NaN	NaN	927	NaN	NaN	NaN	NaN	NaN
NaN	1427	NaN	NaN	NaN	NaN	NaN	1010	2306	NaN	0	5	43	27	9	45	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	953	NaN	NaN
1725	988	1409	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	14	14	10	45	1	1	314	924	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1220	983	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	66	2	11	45	2	1	NaN	920	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2951	2021	NaN	NaN	1232	NaN	NaN	NaN	NaN	2	2	48	32	12	45	0	1	NaN	591	NaN	NaN	NaN	408	NaN	NaN	NaN	NaN
2222	1066	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	69	5	13	45	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	877	2246	2518	1628	1428	NaN	NaN	NaN	NaN	3	1	36	20	14	45	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1220	644	1990	2651	3314	3609	NaN	NaN	NaN	3	2	44	28	15	45	0	1	NaN	NaN	622	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1137	3058	NaN	1600	2793	NaN	NaN	NaN	NaN	NaN	3	0	71	7	16	45	2	1	913	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1742	438	NaN	NaN	1528	NaN	NaN	NaN	NaN	NaN	3	0	9	9	17	45	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	945	1571	NaN	NaN	2284	2092	1886	NaN	NaN	1	3	41	25	18	45	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	890	1420	NaN	NaN	2344	2923	3346	NaN	NaN	1	3	33	17	19	45	0	1	NaN	302	NaN	NaN	NaN	NaN	683	NaN	NaN	NaN
975	905	NaN	NaN	NaN	1945	NaN	NaN	NaN	NaN	3	1	67	3	20	45	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	3595	2518	NaN	NaN	1956	1551	NaN	984	NaN	1	4	46	30	21	45	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	934	NaN
1862	1630	1168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	12	12	22	45	1	1	NaN	NaN	379	NaN	654	NaN	NaN	NaN	NaN	NaN
NaN	1826	NaN	NaN	NaN	NaN	1659	2082	951	NaN	0	4	39	23	23	45	0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	710	NaN
NaN	981	NaN	NaN	NaN	NaN	2096	2248	2496	NaN	0	4	35	19	24	45	0	1	NaN	291	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN
NaN	1363	1697	2311	NaN	1215	2538	2952	NaN	NaN	2	3	42	26	25	45	0	1	NaN	NaN	NaN	NaN	NaN	7	516	711	NaN	NaN
1352	1529	1820	1099	845	NaN	NaN	NaN	NaN	NaN	3	0	11	11	26	45	1	1	NaN	NaN	NaN	NaN	592	NaN	NaN	NaN	NaN	NaN
1682	999	1413	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	70	6	27	45	2	1	NaN	341	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1298	NaN	2059	2638	1849	NaN	NaN	NaN	NaN	3	1	47	31	28	45	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1409	976	NaN	NaN	2725	2489	NaN	2225	NaN	1	4	45	29	29	45	0	1	NaN	495	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	345	1907	2272	NaN	NaN	NaN	NaN	NaN	NaN	2	2	38	22	30	45	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1473	848	NaN	NaN	1318	2065	NaN	NaN	NaN	NaN	3	1	10	10	31	45	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2148	1188	NaN	1790	1467	2631	NaN	NaN	NaN	NaN	3	1	65	1	32	45	2	1	633	NaN	NaN	NaN	326	NaN	NaN	NaN	NaN	NaN
NaN	668	NaN	1973	NaN	NaN	NaN	NaN	NaN	NaN	2	2	38	22	1	46	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2037	847	NaN	NaN	3507	NaN	NaN	NaN	NaN	NaN	3	1	74	10	2	46	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1103	1615	3806	3611	NaN	NaN	NaN	NaN	NaN	3	1	34	18	3	46	0	1	NaN	NaN	710	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1512	NaN	3181	NaN	5474	1334	NaN	NaN	NaN	2	3	37	21	4	46	0	1	NaN	309	NaN	NaN	NaN	866	1313	NaN	NaN	NaN
2656	410	NaN	NaN	NaN	3390	NaN	NaN	NaN	NaN	3	1	79	15	5	46	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	755	NaN	NaN	NaN	1622	3098	3936	NaN	NaN	2	3	42	26	6	46	0	1	NaN	391	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2083	1013	NaN	NaN	NaN	3056	NaN	NaN	NaN	NaN	3	1	3	3	7	46	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	692	2113	6401	NaN	NaN	6646	NaN	NaN	NaN	2	2	48	32	8	46	0	1	NaN	480	NaN	NaN	NaN	309	NaN	NaN	NaN	NaN
1633	988	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	78	14	9	46	2	1	NaN	289	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1039	NaN	NaN	3474	2586	NaN	4830	NaN	1	4	45	29	10	46	0	1	NaN	422	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1274	NaN	NaN	NaN	2113	2569	3713	NaN	NaN	0	5	43	27	11	46	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1367	NaN	NaN	NaN	3700	2856	3147	NaN	NaN	0	4	35	19	12	46	0	1	NaN	7	NaN	NaN	NaN	NaN	218	NaN	NaN	NaN
NaN	797	NaN	NaN	NaN	NaN	2357	4258	3621	NaN	1	4	46	30	13	46	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	493	1640	NaN	NaN	3259	NaN	NaN	NaN	NaN	1	3	33	17	14	46	0	1	NaN	266	240	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1270	531	5502	3155	2801	NaN	NaN	NaN	NaN	NaN	3	0	2	2	15	46	1	1	NaN	336	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	439	1464	NaN	2027	NaN	NaN	NaN	NaN	NaN	3	1	36	20	16	46	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1607	879	NaN	NaN	3446	NaN	NaN	NaN	NaN	NaN	3	1	8	8	17	46	1	1	7	544	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1444	338	NaN	NaN	1928	NaN	NaN	NaN	NaN	NaN	3	0	7	7	18	46	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	520	NaN	NaN	NaN	2569	2341	NaN	NaN	NaN	1	3	41	25	19	46	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1569	801	1308	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	6	6	20	46	1	1	NaN	321	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1078	2417	2734	3842	NaN	4233	NaN	NaN	NaN	3	2	44	28	21	46	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1569	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	5	5	22	46	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2508	816	3645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	75	11	23	46	2	1	NaN	587	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4186	1412	3020	3265	NaN	1597	NaN	NaN	NaN	NaN	3	1	80	16	24	46	2	1	NaN	572	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
1775	2545	NaN	1485	2741	NaN	NaN	NaN	NaN	NaN	3	0	73	9	25	46	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	838	NaN	NaN	NaN	NaN	NaN	4454	3855	NaN	0	4	39	23	26	46	0	1	NaN	594	NaN	NaN	NaN	386	NaN	NaN	NaN	NaN
1458	1926	5356	5141	NaN	4537	NaN	NaN	NaN	NaN	3	1	1	1	27	46	1	1	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN
NaN	629	NaN	NaN	NaN	NaN	4245	3947	2092	4991	0	5	40	24	28	46	0	1	NaN	402	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1388	5128	2239	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	4	4	29	46	1	1	NaN	NaN	372	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1081	NaN	1687	NaN	NaN	NaN	NaN	NaN	NaN	3	0	77	13	30	46	2	1	NaN	NaN	709	160	NaN	NaN	NaN	NaN	NaN	NaN
2555	1019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	76	12	31	46	2	1	NaN	337	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	685	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	47	31	32	46	0	1	NaN	192	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2717	NaN	NaN	NaN	1043	1415	1660	1811	NaN	0	4	39	23	1	47	0	1	NaN	NaN	NaN	NaN	NaN	NaN	451	NaN	269	NaN
1046	894	NaN	NaN	1663	1436	NaN	NaN	NaN	NaN	3	1	15	15	2	47	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2407	NaN	NaN	NaN	NaN	1038	1156	1339	NaN	0	5	43	27	3	47	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1417	1174	993	2028	NaN	NaN	NaN	NaN	NaN	NaN	3	0	68	4	4	47	2	1	NaN	740	571	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	917	1596	2292	1917	1415	NaN	NaN	NaN	NaN	3	1	36	20	5	47	0	1	NaN	7	487	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1182	2116	NaN	NaN	1941	1418	3288	1071	NaN	1	4	46	30	6	47	0	1	NaN	7	NaN	NaN	NaN	NaN	352	NaN	808	NaN
1153	2900	NaN	NaN	NaN	2144	NaN	NaN	NaN	NaN	3	1	72	8	7	47	2	1	519	347	822	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	720	1507	2143	NaN	NaN	NaN	NaN	NaN	NaN	3	0	13	13	8	47	1	1	NaN	469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1156	2111	1539	NaN	NaN	NaN	NaN	NaN	3	1	34	18	9	47	0	1	NaN	428	252	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1648	902	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	9	9	10	47	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
918	1865	NaN	NaN	NaN	1291	NaN	NaN	NaN	NaN	3	1	14	14	11	47	1	1	495	336	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1948	2446	1523	NaN	NaN	1758	NaN	NaN	NaN	NaN	3	1	69	5	12	47	2	1	NaN	302	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2021	729	NaN	NaN	1623	NaN	NaN	NaN	NaN	NaN	3	0	12	12	13	47	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1138	1041	2429	1546	NaN	NaN	NaN	NaN	NaN	NaN	3	0	66	2	14	47	2	1	NaN	598	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1410	2232	2100	NaN	2715	1608	2869	NaN	NaN	2	3	37	21	15	47	0	1	NaN	424	NaN	1048	NaN	251	NaN	NaN	NaN	NaN
NaN	2840	1028	NaN	NaN	1697	NaN	1232	NaN	NaN	1	3	33	17	16	47	0	1	NaN	216	994	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	1699	1514	2171	1144	NaN	0	4	35	19	17	47	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	1097	NaN
2464	923	NaN	1441	NaN	NaN	NaN	NaN	NaN	NaN	3	0	11	11	18	47	1	1	NaN	193	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1844	NaN	NaN	920	3454	2832	NaN	NaN	2	3	42	26	19	47	0	1	NaN	180	NaN	NaN	NaN	702	NaN	NaN	NaN	NaN
NaN	NaN	1065	1438	NaN	2750	2563	NaN	NaN	NaN	2	2	38	22	20	47	0	1	NaN	7	863	307	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1109	1808	975	NaN	1358	NaN	NaN	NaN	3	2	44	28	21	47	0	1	NaN	7	NaN	NaN	955	NaN	NaN	NaN	NaN	NaN
1651	2469	1271	NaN	1967	NaN	NaN	NaN	NaN	NaN	3	0	71	7	22	47	2	1	NaN	7	1246	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1989	395	NaN	1611	NaN	1465	NaN	NaN	NaN	NaN	3	1	10	10	23	47	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1523	NaN	2306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	67	3	24	47	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2191	1536	2559	NaN	NaN	NaN	NaN	NaN	NaN	3	1	16	16	25	47	1	1	NaN	434	NaN	1344	1090	7	NaN	NaN	NaN	NaN
2681	NaN	1925	1187	2375	1341	NaN	NaN	NaN	NaN	3	1	65	1	26	47	2	1	693	378	NaN	1153	7	NaN	NaN	NaN	NaN	NaN
1021	NaN	NaN	2006	NaN	NaN	NaN	NaN	NaN	NaN	3	0	70	6	27	47	2	1	NaN	198	572	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1878	2313	1311	2073	NaN	NaN	NaN	NaN	3	1	47	31	28	47	0	1	NaN	7	821	NaN	1267	NaN	NaN	NaN	NaN	NaN
NaN	1136	2335	1480	NaN	NaN	2086	NaN	NaN	NaN	2	2	48	32	29	47	0	1	NaN	408	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
NaN	659	NaN	NaN	NaN	NaN	2506	1344	NaN	3400	0	5	40	24	30	47	0	1	NaN	426	NaN	NaN	NaN	NaN	NaN	NaN	283	NaN
NaN	NaN	1795	NaN	NaN	812	1984	NaN	NaN	NaN	1	3	41	25	31	47	0	1	NaN	7	NaN	NaN	NaN	762	NaN	NaN	NaN	NaN
NaN	638	1791	NaN	NaN	2248	1280	3651	1613	NaN	1	4	45	29	32	47	0	1	NaN	376	7	NaN	NaN	NaN	NaN	NaN	235	NaN
3393	1578	2626	2384	1341	1820	NaN	NaN	NaN	NaN	3	1	80	16	1	48	2	1	NaN	895	NaN	NaN	1290	7	NaN	NaN	NaN	NaN
NaN	1189	3129	1826	NaN	2157	2648	NaN	NaN	NaN	2	3	37	21	2	48	0	1	NaN	1141	NaN	NaN	NaN	433	NaN	NaN	NaN	NaN
NaN	1050	1981	NaN	NaN	2733	NaN	2261	NaN	NaN	1	3	33	17	3	48	0	1	NaN	9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	980	2524	NaN	2814	1368	NaN	NaN	NaN	NaN	3	1	47	31	4	48	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1234	1590	NaN	NaN	2537	NaN	NaN	811	NaN	1	4	45	29	5	48	0	1	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	406	NaN
NaN	885	1536	2757	2409	3064	NaN	NaN	NaN	NaN	3	1	34	18	6	48	0	1	NaN	429	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
NaN	1016	NaN	NaN	NaN	NaN	3134	2075	1796	3677	0	5	40	24	7	48	0	1	NaN	383	NaN	NaN	NaN	NaN	NaN	NaN	219	NaN
NaN	897	2546	NaN	NaN	1746	4183	NaN	NaN	NaN	2	2	48	32	8	48	0	1	NaN	543	279	NaN	NaN	430	NaN	NaN	NaN	NaN
847	1268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	75	11	9	48	2	1	794	497	211	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1009	1149	2492	2251	NaN	NaN	NaN	NaN	NaN	NaN	3	1	79	15	10	48	2	1	957	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1270	1993	2684	NaN	1815	NaN	NaN	NaN	NaN	NaN	3	1	1	1	11	48	1	1	1075	NaN	NaN	NaN	292	NaN	NaN	NaN	NaN	NaN
1605	594	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	2	2	12	48	1	1	NaN	412	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	877	NaN	NaN	NaN	1550	1792	2552	2268	2816	0	5	43	27	13	48	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1189	NaN	2210	2485	2957	NaN	NaN	NaN	NaN	3	1	36	20	14	48	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2795	1486	1941	2419	NaN	NaN	NaN	NaN	NaN	NaN	3	1	78	14	15	48	2	1	263	418	717	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	439	2637	NaN	NaN	1852	1505	4221	2403	NaN	1	4	46	30	16	48	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2416	2653	963	1209	1850	NaN	NaN	NaN	NaN	NaN	3	0	76	12	17	48	2	1	NaN	530	385	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1443	2107	3685	NaN	621	2638	2855	NaN	NaN	2	3	42	26	18	48	0	1	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
NaN	965	1779	2123	3132	NaN	3663	NaN	NaN	NaN	3	2	44	28	19	48	0	1	NaN	915	NaN	259	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1056	NaN	NaN	NaN	NaN	1524	1811	2503	NaN	0	4	39	23	20	48	0	1	NaN	864	NaN	NaN	NaN	NaN	687	NaN	NaN	NaN
2075	899	NaN	NaN	NaN	1478	NaN	NaN	NaN	NaN	3	1	3	3	21	48	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1396	1039	1224	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	4	4	22	48	1	1	7	998	326	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1319	903	NaN	1950	2381	NaN	NaN	NaN	NaN	NaN	3	1	8	8	23	48	1	1	273	848	546	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2289	1954	1098	1520	NaN	NaN	NaN	NaN	NaN	NaN	3	1	5	5	24	48	1	1	NaN	7	1052	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	935	1859	NaN	NaN	2426	1238	1611	NaN	NaN	1	3	41	25	25	48	0	1	NaN	7	NaN	NaN	NaN	664	NaN	NaN	NaN	NaN
1707	942	1186	NaN	2283	NaN	NaN	NaN	NaN	NaN	3	0	73	9	26	48	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1859	1057	1665	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	6	6	27	48	1	1	NaN	307	536	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1967	870	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	74	10	28	48	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	873	NaN	NaN	NaN	NaN	3266	1952	2271	NaN	0	4	35	19	29	48	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2405	1250	NaN	NaN	2224	NaN	NaN	NaN	NaN	NaN	3	0	7	7	30	48	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	981	2920	1794	NaN	NaN	3388	NaN	NaN	NaN	2	2	38	22	31	48	0	1	NaN	7	NaN	374	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1669	NaN	1023	NaN	NaN	NaN	NaN	NaN	NaN	3	0	77	13	32	48	2	1	NaN	772	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1582	NaN	NaN	NaN	NaN	2009	1135	2271	NaN	0	4	35	19	1	49	0	1	NaN	308	NaN	NaN	NaN	NaN	NaN	NaN	813	NaN
NaN	2225	NaN	NaN	NaN	1197	NaN	NaN	1419	1706	0	5	43	27	2	49	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	593	NaN	NaN
1168	2292	1411	1651	NaN	NaN	NaN	NaN	NaN	NaN	3	0	12	12	3	49	1	1	1132	NaN	NaN	NaN	527	NaN	NaN	NaN	NaN	NaN
875	1157	NaN	NaN	NaN	1423	NaN	NaN	NaN	NaN	3	1	14	14	4	49	1	1	821	NaN	NaN	NaN	573	NaN	NaN	NaN	NaN	NaN
2101	1297	NaN	NaN	1035	1913	NaN	NaN	NaN	NaN	3	1	10	10	5	49	1	1	NaN	7	NaN	865	NaN	NaN	NaN	NaN	NaN	NaN
1836	2489	1399	991	NaN	NaN	NaN	NaN	NaN	NaN	3	0	68	4	6	49	2	1	NaN	NaN	304	952	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2148	2558	1492	NaN	NaN	NaN	NaN	NaN	NaN	3	1	16	16	7	49	1	1	NaN	581	NaN	NaN	1078	7	NaN	NaN	NaN	NaN
1633	1964	NaN	NaN	1001	NaN	NaN	NaN	NaN	NaN	3	0	66	2	8	49	2	1	329	554	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1776	3336	3112	2544	1483	NaN	NaN	NaN	NaN	NaN	3	0	11	11	9	49	1	1	NaN	251	NaN	587	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	842	1122	1897	2312	NaN	0	4	39	23	10	49	0	1	NaN	NaN	NaN	NaN	NaN	820	NaN	NaN	NaN	NaN
1587	2373	1736	1178	NaN	NaN	NaN	NaN	NaN	NaN	3	1	72	8	11	49	2	1	307	555	884	1137	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1330	2096	1629	2322	989	NaN	NaN	NaN	NaN	3	1	36	20	12	49	0	1	NaN	117	NaN	NaN	NaN	944	NaN	NaN	NaN	NaN
NaN	1562	1893	NaN	NaN	2654	1039	1751	NaN	NaN	1	3	33	17	13	49	0	1	NaN	7	565	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1241	NaN	NaN	NaN	2750	2388	1954	2152	1757	0	5	40	24	14	49	0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	731
1407	2582	1203	NaN	1770	NaN	NaN	NaN	NaN	NaN	3	0	71	7	15	49	2	1	NaN	7	1165	873	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2517	1066	NaN	NaN	1350	1698	NaN	NaN	NaN	2	2	48	32	16	49	0	1	NaN	NaN	837	599	NaN	313	NaN	NaN	NaN	NaN
NaN	828	2610	2120	NaN	NaN	NaN	NaN	NaN	NaN	2	2	38	22	17	49	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1740	1267	2094	2262	975	NaN	NaN	NaN	NaN	NaN	3	1	15	15	18	49	1	1	714	7	NaN	NaN	931	NaN	NaN	NaN	NaN	NaN
1050	1523	2077	1244	NaN	NaN	NaN	NaN	NaN	NaN	3	1	69	5	19	49	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	642	2160	NaN	1956	NaN	NaN	NaN	NaN	3	2	44	28	20	49	0	1	NaN	424	601	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	835	1064	NaN	1521	2563	1794	NaN	NaN	2	3	42	26	21	49	0	1	NaN	NaN	797	NaN	NaN	7	643	NaN	NaN	NaN
2045	900	NaN	1546	NaN	NaN	NaN	NaN	NaN	NaN	3	1	67	3	22	49	2	1	608	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
911	2302	NaN	NaN	1353	NaN	NaN	NaN	NaN	NaN	3	1	65	1	23	49	2	1	674	365	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	699	1465	NaN	NaN	1617	2232	2020	NaN	NaN	1	3	41	25	24	49	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1022	1972	1241	2217	1529	NaN	NaN	NaN	NaN	NaN	3	0	70	6	25	49	2	1	875	NaN	NaN	NaN	569	NaN	NaN	NaN	NaN	NaN
2075	1522	1874	868	1698	NaN	NaN	NaN	NaN	NaN	3	0	13	13	26	49	1	1	NaN	265	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2467	1849	NaN	1477	NaN	NaN	NaN	NaN	NaN	3	1	34	18	27	49	0	1	NaN	486	311	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	2126	NaN	NaN	NaN	1459	1135	921	NaN	1	4	45	29	28	49	0	1	NaN	402	7	NaN	NaN	NaN	NaN	NaN	864	NaN
NaN	NaN	2589	1427	NaN	2980	1582	2076	NaN	NaN	2	3	37	21	29	49	0	1	NaN	511	NaN	NaN	NaN	296	NaN	NaN	NaN	NaN
1100	NaN	NaN	882	2180	NaN	NaN	NaN	NaN	NaN	3	0	9	9	30	49	1	1	NaN	7	NaN	835	NaN	NaN	NaN	NaN	NaN	NaN
