TARGET	AGENT	COMP1	COMP2	COMP3	NONSE1	NONSE2	NONSE3	NONSE4	NONSE5	COMPnum	NONSEnum	ITEM	SCENE	ORDER	SUBJECT	COND	ACCURACY	TARGET_early	AGENT_early	COMP1_early	COMP2_early	COMP3_early	NONSE1_early	NONSE2_early	NONSE3_early	NONSE4_early	NONSE5_early
2989	1151	999	2337	2562	NaN	NaN	NaN	NaN	NaN	3	0	70	6	3	9	2	1	NaN	167	411	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1189	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	72	8	4	9	2	1	7	231	NaN	NaN	NaN	877	NaN	NaN	NaN	NaN
1237	853	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	67	3	5	9	2	1	NaN	7	NaN	NaN	NaN	499	NaN	NaN	NaN	NaN
NaN	878	1455	2194	NaN	NaN	3366	NaN	NaN	NaN	2	2	38	22	6	9	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2789	NaN	NaN	NaN	1386	1016	1754	2171	NaN	0	4	39	23	7	9	0	1	NaN	NaN	NaN	NaN	NaN	NaN	995	NaN	NaN	NaN
1081	NaN	NaN	NaN	1425	NaN	NaN	NaN	NaN	NaN	3	1	10	10	8	9	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	922	NaN	NaN	NaN	1589	2027	NaN	2233	NaN	0	5	43	27	9	9	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2840	1480	NaN	NaN	1116	2458	2032	NaN	NaN	1	3	41	25	10	9	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	717	NaN	NaN
NaN	2824	1661	1295	NaN	1436	2373	NaN	NaN	NaN	2	2	48	32	11	9	0	1	NaN	NaN	535	1249	NaN	313	979	NaN	NaN	NaN
1173	862	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	11	11	12	9	1	1	NaN	808	307	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	710	2063	2784	2366	NaN	NaN	NaN	NaN	NaN	3	1	36	20	13	9	0	1	NaN	7	NaN	NaN	NaN	494	NaN	NaN	NaN	NaN
NaN	2224	1250	2743	2506	3552	NaN	NaN	NaN	NaN	3	1	34	18	14	9	0	1	NaN	408	738	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2307	3753	1689	2087	1149	3117	NaN	NaN	NaN	NaN	3	1	65	1	15	9	2	1	734	NaN	232	447	NaN	NaN	NaN	NaN	NaN	NaN
1356	NaN	1048	1672	2115	NaN	NaN	NaN	NaN	NaN	3	1	69	5	16	9	2	1	658	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
825	1958	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	66	2	17	9	2	1	784	NaN	7	526	NaN	NaN	NaN	NaN	NaN	NaN
1613	NaN	903	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	14	14	18	9	1	1	603	NaN	354	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1648	NaN	NaN	926	1355	NaN	NaN	NaN	NaN	NaN	3	1	15	15	19	9	1	1	580	266	NaN	841	NaN	NaN	NaN	NaN	NaN	NaN
NaN	976	NaN	NaN	NaN	1942	NaN	2988	2647	NaN	0	4	35	19	20	9	0	1	NaN	333	NaN	NaN	NaN	NaN	7	NaN	586	NaN
NaN	NaN	1268	911	NaN	NaN	NaN	NaN	NaN	NaN	3	2	44	28	21	9	0	1	NaN	NaN	529	778	NaN	NaN	NaN	NaN	NaN	NaN
NaN	3456	1317	1850	2155	1623	NaN	NaN	NaN	NaN	3	1	47	31	22	9	0	1	NaN	7	896	455	NaN	1122	NaN	NaN	NaN	NaN
NaN	NaN	2144	1448	NaN	1599	NaN	3111	NaN	NaN	2	3	37	21	23	9	0	1	NaN	598	NaN	NaN	NaN	266	NaN	1044	NaN	NaN
2371	2626	2222	1837	1584	NaN	NaN	NaN	NaN	NaN	3	0	71	7	24	9	2	1	590	7	NaN	NaN	1114	NaN	NaN	NaN	NaN	NaN
NaN	NaN	7	NaN	NaN	NaN	2474	NaN	2148	NaN	1	4	45	29	25	9	0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2758	1256	1046	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	68	4	26	9	2	1	34	NaN	244	760	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1245	984	NaN	NaN	2262	1754	NaN	NaN	NaN	1	3	33	17	27	9	0	1	NaN	302	538	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	7	2425	NaN	NaN	2050	2887	1842	NaN	NaN	1	4	46	30	28	9	0	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2043	NaN	NaN	1243	NaN	NaN	NaN	NaN	NaN	NaN	3	0	13	13	29	9	1	1	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
1993	1483	NaN	NaN	1000	NaN	NaN	NaN	NaN	NaN	3	0	12	12	30	9	1	1	NaN	NaN	435	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2687	2258	NaN	2451	1233	NaN	NaN	NaN	NaN	3	1	16	16	31	9	1	1	NaN	NaN	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
1027	2546	1729	NaN	777	NaN	NaN	NaN	NaN	NaN	3	0	9	9	32	9	1	1	256	7	NaN	NaN	705	NaN	NaN	NaN	NaN	NaN
790	1657	5051	2821	3036	NaN	NaN	NaN	NaN	NaN	3	1	8	8	1	10	1	1	7	NaN	NaN	NaN	NaN	517	NaN	NaN	NaN	NaN
NaN	1355	1904	4395	2150	2974	NaN	NaN	NaN	NaN	3	1	34	18	2	10	0	1	NaN	NaN	NaN	NaN	357	NaN	NaN	NaN	NaN	NaN
2390	963	5093	NaN	2119	NaN	NaN	NaN	NaN	NaN	3	0	75	11	3	10	2	1	NaN	896	NaN	557	343	NaN	NaN	NaN	NaN	NaN
NaN	910	NaN	NaN	NaN	1896	1220	1632	2836	NaN	0	4	39	23	4	10	0	1	NaN	682	NaN	NaN	NaN	NaN	NaN	264	541	NaN
NaN	849	NaN	NaN	NaN	1775	NaN	1567	1162	2598	0	5	43	27	5	10	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2064	710	NaN	1403	1818	NaN	NaN	NaN	NaN	NaN	3	0	73	9	6	10	2	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2136	1113	3159	2941	934	NaN	NaN	NaN	NaN	NaN	3	1	79	15	7	10	2	1	NaN	7	NaN	NaN	914	NaN	NaN	NaN	NaN	NaN
960	2663	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	78	14	8	10	2	1	NaN	634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	887	1327	NaN	2563	2781	2996	NaN	NaN	NaN	3	2	44	28	9	10	0	1	NaN	834	664	NaN	NaN	294	NaN	NaN	NaN	NaN
1287	835	1801	1568	NaN	NaN	NaN	NaN	NaN	NaN	3	0	2	2	10	10	1	1	277	567	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	788	2327	1574	NaN	NaN	1	3	41	25	11	10	0	1	NaN	7	NaN	NaN	NaN	746	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	1909	1494	NaN	NaN	NaN	2	3	42	26	12	10	0	1	NaN	638	NaN	NaN	NaN	7	NaN	NaN	NaN	NaN
NaN	2547	NaN	1937	1651	NaN	NaN	NaN	NaN	NaN	3	1	47	31	13	10	0	1	NaN	7	NaN	1213	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1026	NaN	NaN	NaN	1196	1405	2555	1689	NaN	0	4	35	19	14	10	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	725	NaN
1402	2668	NaN	NaN	1929	NaN	NaN	NaN	NaN	NaN	3	1	1	1	15	10	1	1	NaN	398	NaN	NaN	277	NaN	NaN	NaN	NaN	NaN
NaN	1194	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	77	13	16	10	2	1	NaN	501	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	2437	1179	NaN	1798	0	5	40	24	17	10	0	1	NaN	420	NaN	NaN	NaN	NaN	NaN	948	NaN	NaN
1189	1861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	6	6	18	10	1	1	NaN	526	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2807	3339	2515	2070	1419	NaN	NaN	NaN	NaN	NaN	3	1	80	16	19	10	2	1	NaN	477	NaN	709	953	7	NaN	NaN	NaN	NaN
1728	566	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	3	3	20	10	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2077	2341	NaN	NaN	NaN	1152	NaN	NaN	NaN	NaN	3	1	74	10	21	10	2	1	NaN	7	NaN	791	NaN	NaN	NaN	NaN	NaN	NaN
NaN	829	1592	1329	NaN	NaN	2658	NaN	NaN	NaN	2	2	38	22	22	10	0	1	NaN	7	NaN	446	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2477	2082	NaN	NaN	NaN	993	NaN	1609	NaN	1	4	46	30	23	10	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	289	NaN
NaN	2333	NaN	3047	NaN	2771	1139	NaN	NaN	NaN	2	2	48	32	24	10	0	1	NaN	482	NaN	907	NaN	7	1091	NaN	NaN	NaN
NaN	1784	2499	NaN	NaN	2298	NaN	NaN	1014	NaN	1	4	45	29	25	10	0	1	NaN	NaN	7	NaN	NaN	758	NaN	NaN	NaN	NaN
NaN	2286	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	5	5	26	10	1	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	2167	2533	NaN	1343	1454	3457	NaN	NaN	2	3	37	21	27	10	0	1	NaN	580	NaN	354	NaN	1301	NaN	NaN	NaN	NaN
NaN	NaN	2161	2954	NaN	NaN	NaN	NaN	NaN	NaN	3	1	36	20	28	10	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1855	1185	2099	NaN	995	NaN	NaN	NaN	NaN	NaN	3	0	76	12	29	10	2	1	NaN	500	NaN	262	969	NaN	NaN	NaN	NaN	NaN
NaN	NaN	1996	NaN	1724	NaN	NaN	NaN	NaN	NaN	3	0	7	7	30	10	1	1	287	7	766	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	2809	1039	NaN	NaN	1417	NaN	2572	NaN	NaN	1	3	33	17	31	10	0	1	NaN	789	NaN	NaN	NaN	503	312	NaN	NaN	NaN
NaN	319	3060	2146	2593	NaN	NaN	NaN	NaN	NaN	3	1	36	20	1	14	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	621	2466	NaN	NaN	2145	3090	2839	NaN	NaN	1	4	46	30	2	14	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
671	1205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	1	8	8	3	14	1	1	648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1871	629	3082	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	75	11	4	14	2	1	NaN	578	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	1127	NaN	2238	2570	NaN	NaN	NaN	NaN	NaN	3	1	47	31	5	14	0	1	NaN	7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
