AID,Condition,SceneID,Sentence,Von,Voff,Don,Non,Noff,TARGET,AGENT,COMP1,COMP2,COMP3,NONSENSE1,NONSENSE2,NONSENSE3,NONSENSE4,NONSENSE5,COMPnum,NONSEnum
41,0,25,filler-shake,833.377,1356.112,1356.112,1421.067,2168.413,0 0 0 0 ,462  178  804  690,472  718  540  838,0 0 0 0 ,0 0 0 0 ,170  608  380  822,900   530  1080   818,656  700  774  870,0 0 0 0,0 0 0 0,1,3
42,0,26,filler-shatter,843.342,1432.346,1432.346,1605.038,2232.948,0 0 0 0 ,50   28  276  638,754  178  850  342,1072   120  1146   340,0 0 0 0 ,588  434  770  544,898   382  1028   524,278  730  504  920,0 0 0 0,0 0 0 0,2,3
43,0,27,filler-shut,824.843,1343.385,1343.385,1483.309,2099.569,0 0 0 0 ,526   64  754  682,0 0 0 0 ,0 0 0 0 ,0 0 0 0 ,136   86  298  456,30  554  224  744,492  742  644  866,950   362  1090   484,1030   730  1200   890,0,5
44,0,28,filler-sip,808.524,1385.78,1385.78,1480.966,2216.712,0 0 0 0 ,28   90  588  690,620  154  712  354,744  104  866  294,932   358  1074   448,904  100  974  318,652  672  950  960,0 0 0 0,0 0 0 0,0 0 0 0,3,2
45,0,29,filler-stir,837.997,1417.921,1417.921,1517.418,2121.837,0 0 0 0 ,796   116  1250   784,530  406  746  558,0 0 0 0 ,0 0 0 0 ,266  494  466  634,122  254  316  426,316   50  410  248,396  282  572  370,0 0 0 0,1,4
46,0,30,filler-taste,897.747,1494.215,1494.215,1629.92,2218.866,0 0 0 0 ,430    2  780  814,1000   800  1150   922,0 0 0 0 ,0 0 0 0 ,36  772  174  944,100  142  268  456,896   140  1280   412,860   444  1080   674,0 0 0 0,1,4
47,0,31,filler-tune,1125.955,1683.982,1683.982,1772.092,2706.848,0 0 0 0 ,496   98  790  866,66  316  264  780,898   294  1024   616,1082   420  1264   958,236  806  434  960,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
48,0,32,filler-zip,1109.086,1643.964,1643.964,1747.579,2242.177,0 0 0 0 ,22   12  424  828,812   292  1122   550,564  764  726  958,0 0 0 0 ,464  438  630  576,854   596  1272   944,0 0 0 0,0 0 0 0,0 0 0 0,2,2
65,2,1,arrest-search2,1041.638,1693.095,1693.095,1762.288,2326.389,1040   350  1224   940,8  338  208  950,224    2  694  370,822   268  1028   390,464  424  596  614,594  768  786  928,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
66,2,2,bathe-touch2,869.671,1364.255,1364.255,1497.888,2159.478,474  654  686  952,10    4  374  710,540  298  742  646,850   582  1170   834,904   188  1270   490,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
67,2,3,bounce-throw2,751.326,1245.927,1245.927,1409.554,2024.694,942   370  1140   570,514  134  764  838,878   820  1198   922,266  834  386  936,66  610  202  698,32    2  336  248,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
68,2,4,climb-photograph2,902.521,1802.582,1802.582,1841.364,2501.043,368  154  986  518,1034   612  1182   952,666  564  908  756,324  620  442  832,80   50  204  186,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
69,2,5,drink-try2,874.662,1342.831,1342.831,1439.781,2071.542,304  718  416  906,576  106  770  654,88  494  258  670,648  816  742  956,910   786  1040   926,134   16  288  324,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
70,2,6,eat-move2,822.725,1282.959,1282.959,1503.976,1952.812,36  654  340  804,484  104  824  448,34  334  228  454,950   424  1094   568,672  656  878  776,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
71,2,7,fry-grab2,1150.911,1630.457,1630.457,1812.839,2326.584,644  712  820  850,542  310  736  684,206  606  356  784,366  736  580  816,870   640  1060   808,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
72,2,8,inject-check2,1004.135,1480.173,1480.173,1644.955,2266.463,546  546  828  960,116   32  358  730,546  112  750  300,852   156  1000   294,1126    90  1240   306,1046   740  1226   956,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
73,2,9,play-dust2,915.53,1374.272,1374.272,1525.532,2224.172,14   14  426  492,522   74  702  690,824   108  1138   394,752   612  1258   930,120  630  306  760,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
74,2,10,read-open2,921.168,1400.022,1400.022,1512.429,1987.279,992   576  1254   714,492  110  700  818,44    4  260  410,328  756  476  960,824  662  966  834,658  834  780  956,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
75,2,11,repair-wipe2,839.654,1352.831,1352.831,1482.048,2588.209,906    10  1256   426,124   46  470  864,548   22  714  434,972   798  1146   904,720  574  794  740,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
76,2,12,ring-kick2,975.73,1432.312,1432.312,1558.136,2069.433,274  644  448  840,278  164  582  598,600  236  704  366,766  388  910  522,672  572  828  772,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
77,2,13,sail-watch2,829.355,1489.393,1489.393,1627.741,2171.383,62  272  212  472,1006   350  1222   944,320   22  520  224,454  422  698  532,824   108  1092   224,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,0
78,2,14,smoke-collect2,838.523,1466.081,1466.081,1604.294,2462.018,600  234  690  358,14   58  314  808,782  276  938  362,1020   190  1234   362,1020   718  1254   960,440   20  580  204,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
79,2,15,walk-feed2,854.831,1435.734,1435.734,1619.793,2157.143,48  284  384  610,516   90  796  710,1022   256  1172   504,852   644  1268   920,412  744  558  942,90  738  228  880,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
80,2,16,wear-forget2,1248.267,1862.244,1862.244,2001.526,2480.816,36  444  140  618,948     2  1280   660,236   62  446  196,466   42  574  170,618   62  800  158,494  418  842  838,0 0 0 0,0 0 0 0,0 0 0 0,0 0 0 0,3,1
