Subject_ID,date,start_time,end_time,action,notes,keep,end_date_time,PSTtime,other_tz_time,order
81865,12/5/22,4:30,5:00pm,credit granted,had to restart because screen froze at 2nd calibration (mouse click + eye movement),0,12/5/22 5:00pm,2022-12-05T05:00:00Z,2022-12-05T04:00:00Z,2
78145,12/6/22,6:00,6:30pm,credit granted,had to restart because screen froze at 2nd calibration (eye movement),0,12/6/22 6:30pm,2022-12-06T06:30:00Z,2022-12-06T05:30:00Z,1
82996,12/6/22,6:30,7:00pm,credit granted,NA,1,12/6/22 7:00pm,2022-12-06T07:00:00Z,2022-12-06T06:00:00Z,2
73408,12/6/22,7:00,7:30pm,credit granted,NA,1,12/6/22 7:30pm,2022-12-06T07:30:00Z,2022-12-06T06:30:00Z,3
83077,12/6/22,7:30,8:00pm,credit granted,NA,1,12/6/22 8:00pm,2022-12-06T08:00:00Z,2022-12-06T07:00:00Z,4
79483,12/7/22,3:30,4:00pm,credit granted,NA,1,12/7/22 4:00pm,2022-12-07T04:00:00Z,2022-12-07T03:00:00Z,1
79588,12/8/22,3:30,4:00pm,credit granted,NA,1,12/8/22 4:00pm,2022-12-08T04:00:00Z,2022-12-08T03:00:00Z,1
76921,12/8/22,4:30,5:00pm,credit granted,NA,1,12/8/22 5:00pm,2022-12-08T05:00:00Z,2022-12-08T04:00:00Z,2
80893,12/8/22,5:00,5:30pm,credit granted,NA,1,12/8/22 5:30pm,2022-12-08T05:30:00Z,2022-12-08T04:30:00Z,3
79192,12/8/22,6:00,6:30pm,credit granted,NA,1,12/8/22 6:30pm,2022-12-08T06:30:00Z,2022-12-08T05:30:00Z,4
83491,1/30/23,3:30,4:00pm,credit granted,"screen freezes at ""make the fish eat the lollipop""",0,1/30/23 4:00pm,2023-01-30T04:00:00Z,2023-01-30T03:00:00Z,1
82897,1/30/23,4:00,4:30pm,credit granted,NA,1,1/30/23 4:30pm,2023-01-30T04:30:00Z,2023-01-30T03:30:00Z,2
82204,1/31/23,10:30,11:00am,credit granted,NA,1,1/31/23 11:00am,2023-01-31T11:00:00Z,2023-01-31T10:00:00Z,1
83293,1/31/23,11:00,11:30am,credit granted,NA,1,1/31/23 11:30am,2023-01-31T11:30:00Z,2023-01-31T10:30:00Z,2
83509,2/1/23,1:30,2:00pm,credit granted,NA,1,2/1/23 2:00pm,2023-02-01T02:00:00Z,2023-02-01T01:00:00Z,1
83341,2/2/23,11:00,11:30am,credit granted,NA,1,2/2/23 11:30am,2023-02-02T11:30:00Z,2023-02-02T10:30:00Z,1
81511,3/16/23,10:30,11:00am,credit granted,NA,1,3/16/23 11:00am,2023-03-16T11:00:00Z,2023-03-16T10:00:00Z,1
81625,3/17/23,9:30,10:00am,credit granted,NA,1,3/17/23 10:00am,2023-03-17T10:00:00Z,2023-03-17T09:00:00Z,1
84043,3/22/23,2:00,2:30pm,credit granted,NA,1,3/22/23 2:30pm,2023-03-22T02:30:00Z,2023-03-22T01:30:00Z,1
83698,4/26/23,1:30,2:00pm,credit granted,participant accidentally closed the tab -  restarted,0,4/26/23 2:00pm,2023-04-26T02:00:00Z,2023-04-26T01:00:00Z,1
79144,4/26/23,2:00,2:30pm,credit granted,facial recognition is not working -  restarted,0,4/26/23 2:30pm,2023-04-26T02:30:00Z,2023-04-26T01:30:00Z,2
84307,4/26/23,2:30,3:00pm,credit granted,NA,1,4/26/23 3:00pm,2023-04-26T03:00:00Z,2023-04-26T02:00:00Z,3
71593,4/26/23,9:00,9:30am,credit granted,NA,1,4/26/23 9:30am,2023-04-26T09:30:00Z,2023-04-26T08:30:00Z,4
84319,4/26/23,10:30,11:00am,credit granted,NA,1,4/26/23 11:00am,2023-04-26T11:00:00Z,2023-04-26T10:00:00Z,5
83440,4/26/23,11:00,11:30am,credit granted,NA,1,4/26/23 11:30am,2023-04-26T11:30:00Z,2023-04-26T10:30:00Z,6
79000,4/26/23,11:30am,12:00pm,credit granted,NA,1,4/26/23 12:00pm,2023-04-26T12:00:00Z,2023-04-26T11:00:00Z,7
