date_time,user_id,daily_subjnum,unique_id,n
2022-12-02T08:45:32Z,eb437ce4-b809-4b77-a06b-974699c386ac,1,1__eb437ce4-b809-4b77-a06b-974699c386ac,52
2022-12-02T08:45:32Z,eb437ce4-b809-4b77-a06b-974699c386ac,2,2__eb437ce4-b809-4b77-a06b-974699c386ac,56
2022-12-02T08:45:32Z,eb437ce4-b809-4b77-a06b-974699c386ac,3,3__eb437ce4-b809-4b77-a06b-974699c386ac,54
2022-12-02T08:45:32Z,eb437ce4-b809-4b77-a06b-974699c386ac,4,4__eb437ce4-b809-4b77-a06b-974699c386ac,54
2022-12-05T15:23:54Z,8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,1,1__8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,50
2022-12-05T15:23:54Z,8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,2,2__8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,60
2022-12-05T15:23:54Z,8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,3,3__8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,54
2022-12-05T15:23:54Z,8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,4,4__8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,55
2022-12-05T15:23:54Z,8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,5,5__8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,53
2022-12-05T15:23:54Z,8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,6,6__8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,55
2022-12-05T15:23:54Z,8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,7,7__8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,26
2022-12-05T15:23:54Z,8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,8,8__8fe5abb6-8e0d-4d27-9d04-3c5be42c0b9f,29
2022-12-07T15:29:45Z,a17ebdd1-60f4-4637-bc0c-c24d34328b09,1,1__a17ebdd1-60f4-4637-bc0c-c24d34328b09,56
2022-12-07T15:29:45Z,a17ebdd1-60f4-4637-bc0c-c24d34328b09,2,2__a17ebdd1-60f4-4637-bc0c-c24d34328b09,52
2022-12-07T15:29:45Z,a17ebdd1-60f4-4637-bc0c-c24d34328b09,3,3__a17ebdd1-60f4-4637-bc0c-c24d34328b09,53
2022-12-07T15:29:45Z,a17ebdd1-60f4-4637-bc0c-c24d34328b09,4,4__a17ebdd1-60f4-4637-bc0c-c24d34328b09,54
2022-12-07T15:29:45Z,a17ebdd1-60f4-4637-bc0c-c24d34328b09,5,5__a17ebdd1-60f4-4637-bc0c-c24d34328b09,55
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,1,1__bb6cd8aa-8d86-4afb-b912-307001708acd,60
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,2,2__bb6cd8aa-8d86-4afb-b912-307001708acd,60
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,3,3__bb6cd8aa-8d86-4afb-b912-307001708acd,60
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,4,4__bb6cd8aa-8d86-4afb-b912-307001708acd,60
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,5,5__bb6cd8aa-8d86-4afb-b912-307001708acd,49
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,6,6__bb6cd8aa-8d86-4afb-b912-307001708acd,49
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,7,7__bb6cd8aa-8d86-4afb-b912-307001708acd,49
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,8,8__bb6cd8aa-8d86-4afb-b912-307001708acd,49
2023-01-30T15:32:30Z,bb6cd8aa-8d86-4afb-b912-307001708acd,9,9__bb6cd8aa-8d86-4afb-b912-307001708acd,55
